epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.18176,1.13212,1.88394,1.36182,0.86383,0.43933,0.65418,0.44359,1.02416,2.1547,1.20474,0.00052,0.00052,0.00052
2,3.58709,1.0762,1.20885,1.26643,0.67897,0.6093,0.63953,0.40421,1.14365,1.72637,1.30641,0.00102502,0.00102502,0.00102502
3,4.95556,1.08697,1.12282,1.2819,0.82714,0.75552,0.81034,0.55024,1.07619,1.22787,1.29074,0.0014944,0.0014944,0.0014944
4,6.30408,1.05401,1.05345,1.2596,0.84937,0.71853,0.79692,0.4875,1.30729,1.28948,1.43507,0.001802,0.001802,0.001802
5,7.64669,1.03032,0.98424,1.23766,0.76914,0.63712,0.71454,0.465,1.24074,1.30484,1.47084,0.001736,0.001736,0.001736
6,9.01183,1.02595,0.95875,1.23509,0.76173,0.76454,0.77993,0.53137,1.0966,1.18851,1.30393,0.00167,0.00167,0.00167
7,10.3594,0.98468,0.91202,1.21701,0.71819,0.61219,0.70112,0.4407,1.28256,1.2229,1.45969,0.001604,0.001604,0.001604
8,11.701,0.92644,0.85528,1.18238,0.84655,0.85042,0.89516,0.64671,0.96425,0.90983,1.18459,0.001538,0.001538,0.001538
9,13.0703,0.91324,0.81685,1.18428,0.82798,0.84211,0.85029,0.6026,0.97218,0.87532,1.13586,0.001472,0.001472,0.001472
10,14.4078,0.91118,0.78624,1.19192,0.85618,0.87535,0.89183,0.66665,0.89161,0.75619,1.12731,0.001406,0.001406,0.001406
11,15.7641,0.83114,0.7453,1.13336,0.82201,0.88089,0.89225,0.64761,0.92183,0.77187,1.17719,0.00134,0.00134,0.00134
12,17.1175,0.86903,0.74097,1.1581,0.84418,0.87042,0.90381,0.66335,0.9301,0.74246,1.17046,0.001274,0.001274,0.001274
13,18.4725,0.83997,0.69392,1.12563,0.88538,0.87733,0.91867,0.65473,0.97776,0.6961,1.19894,0.001208,0.001208,0.001208
14,19.8112,0.85705,0.6906,1.13806,0.83636,0.93075,0.91307,0.69682,0.84073,0.68653,1.10111,0.001142,0.001142,0.001142
15,21.2535,0.77122,0.65049,1.09623,0.89166,0.93476,0.92821,0.74685,0.76244,0.61646,1.02194,0.001076,0.001076,0.001076
16,22.6133,0.74197,0.61912,1.09067,0.89301,0.91413,0.93511,0.76314,0.70948,0.58482,0.99228,0.00101,0.00101,0.00101
17,23.9568,0.72896,0.58232,1.07796,0.91406,0.91136,0.93952,0.768,0.69817,0.54881,0.97984,0.000944,0.000944,0.000944
18,25.3255,0.71733,0.59302,1.07559,0.90386,0.93352,0.94278,0.76609,0.68952,0.54324,0.98481,0.000878,0.000878,0.000878
19,26.6616,0.69275,0.55774,1.06536,0.90558,0.90327,0.9476,0.77891,0.65191,0.53443,0.95775,0.000812,0.000812,0.000812
20,28.0226,0.67546,0.5455,1.04318,0.87527,0.94737,0.93923,0.77042,0.69206,0.53936,0.98811,0.000746,0.000746,0.000746
21,29.6982,0.68127,0.62808,1.05572,0.88832,0.9254,0.94444,0.76933,0.6778,0.58456,0.97831,0.00068,0.00068,0.00068
22,31.023,0.62714,0.52253,0.99925,0.90776,0.92689,0.94511,0.76244,0.71669,0.54769,0.9858,0.000614,0.000614,0.000614
23,32.3452,0.63035,0.52329,1.00901,0.93154,0.91413,0.95864,0.76988,0.76418,0.54546,1.01174,0.000548,0.000548,0.000548
24,33.6762,0.61836,0.49733,0.99647,0.91671,0.94519,0.95475,0.76252,0.72936,0.52579,0.98968,0.000482,0.000482,0.000482
25,34.9859,0.59595,0.49487,0.98703,0.91332,0.94737,0.95407,0.80129,0.63033,0.49454,0.95693,0.000416,0.000416,0.000416
26,36.325,0.57625,0.46209,0.96873,0.90388,0.95291,0.958,0.80878,0.61822,0.4814,0.94716,0.00035,0.00035,0.00035
27,37.7582,0.53287,0.42946,0.95605,0.91982,0.95014,0.96675,0.81915,0.59401,0.46356,0.93701,0.000284,0.000284,0.000284
28,39.0895,0.52507,0.42629,0.94994,0.92177,0.94653,0.96587,0.81765,0.58584,0.44597,0.93548,0.000218,0.000218,0.000218
29,40.3944,0.515,0.40743,0.94684,0.93409,0.94225,0.96997,0.82941,0.57938,0.44208,0.92571,0.000152,0.000152,0.000152
30,41.7146,0.51055,0.40304,0.93048,0.92991,0.95552,0.97178,0.83366,0.57689,0.43965,0.92132,8.6e-05,8.6e-05,8.6e-05
