epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51769,1.29597,3.59934,0.93683,0.00067,0.2,0.00071,0.0005,1.93413,6.48572,0.80655,0.00034,0.00034,0.00034
2,2.34627,1.24279,2.01805,0.95002,0.00067,0.2,0.00069,0.00021,2.04359,6.41554,0.75755,0.00066535,0.00066535,0.00066535
3,3.18946,1.11655,1.64107,0.95244,0,0,0,0,1.71158,6.01557,0.74008,0.00095506,0.00095506,0.00095506
4,4.00962,1.1243,1.48595,0.95482,0.002,0.6,0.00255,0.00093,1.9202,5.90945,0.76365,0.00120913,0.00120913,0.00120913
5,4.82877,1.15848,1.42158,0.96644,0.91225,0.6,0.59541,0.33713,1.83836,3.9012,0.76334,0.00142756,0.00142756,0.00142756
6,5.64539,1.12899,1.25297,0.99126,0.8958,0.6,0.59541,0.29062,1.90822,3.17369,0.79462,0.001505,0.001505,0.001505
7,6.44942,1.09866,1.14039,0.95213,0.91757,0.6,0.59541,0.31729,2.03655,2.31767,0.74843,0.001406,0.001406,0.001406
8,7.24597,1.13644,1.10274,0.95064,0.99281,0.6,0.59609,0.37694,1.86558,1.62447,0.7916,0.001307,0.001307,0.001307
9,8.0509,1.07929,0.97607,0.94738,0.98251,0.6,0.59541,0.36702,1.86675,1.21805,0.78864,0.001208,0.001208,0.001208
10,8.84849,1.04545,0.94247,0.95397,0.98394,0.6,0.68417,0.40227,1.78535,1.32069,0.75522,0.001109,0.001109,0.001109
11,9.98237,1.02948,1.13384,0.95478,0.98156,0.6,0.59611,0.33686,1.87093,1.46796,0.78391,0.00101,0.00101,0.00101
12,10.7665,1.01725,1.09301,0.95192,0.98312,0.6,0.59541,0.39631,1.90655,1.11764,0.78161,0.000911,0.000911,0.000911
13,11.552,0.96587,0.96912,0.92854,0.95258,0.6,0.59748,0.3312,1.9088,11.6729,0.76408,0.000812,0.000812,0.000812
14,12.3306,0.97039,0.9511,0.94157,0.9802,0.6,0.64877,0.37455,1.67528,1.12436,0.77429,0.000713,0.000713,0.000713
15,13.1189,1.00008,0.90789,0.95611,0.98431,0.6,0.75544,0.44441,1.57399,1.25816,0.77753,0.000614,0.000614,0.000614
16,13.9223,0.98515,0.87715,0.92704,0.97793,0.6,0.70975,0.461,1.395,1.18474,0.78208,0.000515,0.000515,0.000515
17,14.7097,0.91731,0.83501,0.90395,0.98111,0.6,0.72881,0.47677,1.39329,1.1216,0.77712,0.000416,0.000416,0.000416
18,15.4962,0.91363,0.79607,0.91994,0.98387,0.6,0.70975,0.42621,1.37916,1.14422,0.76208,0.000317,0.000317,0.000317
19,16.2785,0.89826,0.79943,0.92097,0.98396,0.6,0.70974,0.41966,1.34249,1.04225,0.7732,0.000218,0.000218,0.000218
20,17.073,0.87797,0.75409,0.91829,0.98544,0.6,0.75546,0.43919,1.5119,1.00602,0.7669,0.000119,0.000119,0.000119
