epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16774,1.07729,1.89984,1.34666,0.81495,0.48199,0.61267,0.43364,0.97034,2.04947,1.16003,0.00052,0.00052,0.00052
2,3.56293,1.05915,1.21749,1.29365,0.70228,0.60942,0.66305,0.40748,1.19246,1.71455,1.39071,0.00103901,0.00103901,0.00103901
3,4.93841,1.08465,1.12331,1.29837,0.74081,0.59834,0.65419,0.38671,1.3616,1.88562,1.61486,0.00153664,0.00153664,0.00153664
4,6.29649,1.04694,1.05113,1.28535,0.72428,0.62327,0.64459,0.37271,1.39976,1.61338,1.69108,0.0018812,0.0018812,0.0018812
5,7.62831,1.01408,0.98645,1.26088,0.59375,0.72576,0.63987,0.41678,1.1744,1.49151,1.37922,0.0018416,0.0018416,0.0018416
6,8.98168,0.98278,0.92717,1.22445,0.8293,0.80749,0.86149,0.60804,1.02718,0.98438,1.28838,0.001802,0.001802,0.001802
7,10.3404,0.97832,0.89037,1.23446,0.81932,0.85416,0.87169,0.62795,1.00439,0.93535,1.24148,0.0017624,0.0017624,0.0017624
8,11.7113,0.9994,0.855,1.24106,0.75004,0.86444,0.82407,0.5952,0.95422,0.90556,1.17046,0.0017228,0.0017228,0.0017228
9,13.0461,0.9046,0.80205,1.17546,0.86875,0.84342,0.89731,0.66034,0.8913,0.77428,1.13025,0.0016832,0.0016832,0.0016832
10,14.4094,0.91016,0.82833,1.20548,0.85842,0.77257,0.86638,0.56903,1.16537,0.91717,1.27464,0.0016436,0.0016436,0.0016436
11,15.769,0.86454,0.74752,1.16034,0.82746,0.90336,0.91517,0.68743,0.90493,0.73084,1.10971,0.001604,0.001604,0.001604
12,17.1089,0.87914,0.72636,1.15605,0.89353,0.88341,0.9162,0.60681,1.11485,0.79091,1.23647,0.0015644,0.0015644,0.0015644
13,18.556,0.8454,0.70073,1.14945,0.89433,0.88089,0.93249,0.71755,0.81615,0.70315,1.07278,0.0015248,0.0015248,0.0015248
14,19.8898,0.79679,0.67109,1.11083,0.84742,0.93851,0.93002,0.74168,0.74369,0.63723,1.05094,0.0014852,0.0014852,0.0014852
15,21.2331,0.78201,0.64104,1.10617,0.87776,0.93629,0.91994,0.73806,0.73877,0.57472,1.03584,0.0014456,0.0014456,0.0014456
16,22.5757,0.77962,0.61987,1.10621,0.86882,0.89751,0.92378,0.74102,0.72708,0.59345,1.01854,0.001406,0.001406,0.001406
17,23.8999,0.74244,0.62683,1.08063,0.88233,0.89315,0.92162,0.73984,0.71502,0.57565,1.01301,0.0013664,0.0013664,0.0013664
18,25.2297,0.73132,0.59677,1.08886,0.88891,0.93092,0.9278,0.75252,0.72535,0.56393,1.0411,0.0013268,0.0013268,0.0013268
